User,المستخدم
Budget Against,الموازنة مقابل
Budget List,قائمة الموازنة
Budget Variance Report,تقرير إنحرافات الموازنة
Budget cannot be assigned against Group Account {0},لايمكن أسناد الموازنة للمجموعة Account {0}
Cost Center and Budgeting,مركز التكلفة والموازنة
Define budget for a financial year.,تحديد موازنة السنة المالية
Total Budget,الموازنة الإجمالية
Budget,موازنة
Action if Annual Budget Exceeded on MR,الإجراء إذا تجاوزت الموازنة السنوية على الدخل الشهري
Action if Accumulated Monthly Budget Exceeded on MR,الإجراء في حالة تجاوز الموازنة الشهرية المتراكمة على MR
Action if Annual Budget Exceeded on PO,الإجراء إذا تجاوزت الموازنة السنوية على أمر الشراء
Action if Accumulated Monthly Budget Exceeded on PO,أجراء في حال تجاوزت الموازنة الشهرية المتراكمة طلب الشراء
Action if Annual Budget Exceeded on Actual,أجراء في حال تجاوزت الموازنة السنوية الموازنة المخصصة مسبقا
Action if Accumulated Monthly Budget Exceeded on Actual,أجراء في حال تجاوزت الموازنة الشهرية المتراكمة للموازنة الفعلية
Budget Accounts,حسابات الموازنة
Budget Account,حساب الموازنة
Budget Amount,قيمة الموازنة
Total Estimated Budget,مجموع الموازنة التقديرية
Budget Detail,تفاصيل الموازنة
Clear filters,حذف الفلتر
Clear values,وحذف القيم
Clear,حذف
Clear Filters,حذف الفلتر
Submit,تأكيد
Contact & Address,تواصل & عناوين
Connections,روابط
Is Rate Adjustment Entry (Debit Note),هو إدخال تعديل السعر (ملاحظة دين)
Is Cash or Non Trade Discount,هو خصم نقدي أو غير تجاري
Dispatch Address Name,اسم وعنوان المرسل
Amount Eligible for Commission,المبلغ المؤهل للعمولة
You created this,قمت بإنشاء هذا
You last edited this,قمت بتعديل هذا آخر مرة
Create a Reminder,قم بإنشاء تذكير
Remind At,تذكير في
Remind Me In,تذكير بعد
emind Me,تذكرني
List View,عرض القائمة
Draft,مسودة
Submitted,مُعمد
My Profile,الملف الشخصي
My Settings,إعداداتي
Toggle Full Width,تبديل للعرض الكامل
Toggle Theme,تبديل الثيم
Log out,الخروج
Overview,نظره عامه
No activities to show,لا توجد أنشطة لإظهارها
Rank,الرتبة
Monthly Rank,الرتبة الشهرية
Basic Info,معلومات اساسية
Your Shortcuts,اختصاراتك
Reports & Masters,الرئيسية & التقارير
Tax Detail,التفاصيل الضريبية
Cost Center Allocation,تخصيص مركز التكلفة
Bank Reconciliation Tool,أداة التسوية المصرفية
KSA VAT Report,تقرير ضريبة القيمة المضافة السعودية
KSA VAT Setting,إعداد ضريبة القيمة المضافة السعودية
Items & Pricing,السلع والأسعار
Items to Order and Receive,السلع التي يجب طلبها واستلامها
Territory Wise Sales,مبيعات الاقليم
CRM Settings,إعدادات إدارة علاقات العملاء (CRM)
